order_id,order_date,customer_id,store_id,product_id,quantity,unit_price,discount,shipping_cost,sales_channel,returned
ORD-100010,2025-07-20,CUS-0246,STR-103,PRD-004-S,2,26.25,0,0,Store,No
ORD-100010,2025-10-07,CUS-0045,STR-101,PRD-004-S,4,26.25,0,0,Phone,No
ORD-100011,2025-06-06,CUS-0072,STR-102,PRD-019-T,1,17.7,0,0,Store,No
ORD-100011,2025-07-31,CUS-0182,STR-107,PRD-008-T,1,21.24,0,7.99,Phone,No
ORD-100012,2025-11-12,CUS-0212,STR-103,PRD-009-S,1,93.45,0.05,7.99,Phone,No
ORD-100012,2025-08-01,CUS-0056,STR-106,PRD-014-S,1,35.0,0,7.99,Store,No
ORD-100013,2025-05-17,CUS-0142,STR-102,PRD-008-S,1,18.0,0,11.99,Phone,No
ORD-100013,2025-01-31,CUS-0208,STR-103,PRD-001-T,1,234.17,0,4.99,Online,No
ORD-100014,2025-02-28,CUS-0025,STR-104,PRD-020-T,1,66.91,0.1,11.99,Online,No
ORD-100014,2025-12-13,CUS-0083,STR-102,PRD-012-S,1,23.1,0.15,7.99,Store,No
ORD-100015,2025-08-13,CUS-0121,STR-104,PRD-002-T,2,110.98,0.05,7.99,Online,No
ORD-100015,2025-02-09,CUS-0111,STR-103,PRD-004-S,3,23.75,0.15,0,Online,No
ORD-100016,2025-04-26,CUS-0067,STR-106,PRD-013-T,1,18.88,0,0,Phone,No
ORD-100016,2025-08-16,CUS-0053,STR-106,PRD-017-S,1,7.6,0.15,11.99,Online,No
ORD-100017,2025-04-29,CUS-0206,STR-107,PRD-011-T,3,40.12,0,4.99,Phone,No
ORD-100017,2025-07-29,CUS-0046,STR-104,PRD-002-T,1,116.82,0,7.99,Phone,No
ORD-100018,2025-09-08,CUS-0160,STR-101,PRD-017-S,1,8.4,0.05,0,Store,No
ORD-100018,2025-07-18,CUS-0217,STR-101,PRD-019-S,2,15.75,0,11.99,Phone,No
ORD-100019,2025-12-20,CUS-0094,STR-103,PRD-018-T,2,35.93,0,11.99,online ,No
ORD-100019,2025-08-26,CUS-0007,STR-104,PRD-004-T,4,29.5,0.05,11.99,Online,No
ORD-100020,2025-01-04,CUS-0059,STR-106,PRD-015-T,2,54.52,0,0,Store,No
ORD-100020,2025-07-07,CUS-0048,STR-107,PRD-005-S,2,55.0,0.1,4.99,Store,No
ORD-100021,2025-03-05,CUS-0114,STR-106,PRD-008-T,1,20.18,0,0,Store,No
ORD-100021,2025-06-29,CUS-0138,STR-107,PRD-013-T,2,19.82,0.1,7.99,Phone,No
ORD-100022,2025-06-01,CUS-0235,STR-101,PRD-016-T,1,14.87,0.1,7.99,Store,No
ORD-100022,2025-10-24,CUS-0014,STR-104,PRD-019-T,1,16.81,0,0,Store,No
ORD-100023,2025-06-22,CUS-0013,STR-101,PRD-003-S,1,42.0,0,4.99,Phone,No
ORD-100023,2025-09-24,CUS-0082,STR-105,PRD-020-T,3,63.72,0.05,0,Store,No
ORD-100024,2025-06-20,CUS-0247,STR-107,PRD-015-T,2,54.52,0,4.99,Online,No
ORD-100024,2025-04-30,CUS-0074,STR-106,PRD-012-S,1,22.0,0,11.99,Store,No
ORD-100025,2025-03-23,CUS-0144,STR-106,PRD-014-S,1,33.25,0,7.99,Online,No
ORD-100025,2025-01-02,CUS-0073,STR-104,PRD-014-T,1,39.23,0.05,0,Online,No
ORD-100026,2025-01-31,CUS-0133,STR-107,PRD-003-S,1,44.1,0,0,Store,No
ORD-100026,2025-10-10,CUS-0053,STR-106,PRD-001-T,4,223.02,0.05,7.99,Store,No
ORD-100027,2025-04-10,CUS-0093,STR-105,PRD-002-S,3,94.05,0.1,7.99,Online,No
ORD-100027,2025-06-01,CUS-0031,STR-101,PRD-017-S,1,7.6,0.1,0,Store,No
ORD-100028,2025-05-01,CUS-0069,STR-104,PRD-018-T,2,32.51,0.05,11.99,Store,No
ORD-100028,2025-01-04,CUS-0168,STR-106,PRD-001-S,4,198.45,0,4.99,Phone,No
ORD-100029,2025-12-23,CUS-0194,STR-104,PRD-002-T,2,122.66,0,0,Store,Yes
ORD-100029,2025-12-15,CUS-0209,STR-105,PRD-011-T,3,42.13,0.05,4.99,Phone,No
ORD-100030,2025-02-03,CUS-0036,STR-102,PRD-019-S,3,15.0,0,11.99,Phone,No
ORD-100030,2025-09-24,CUS-0013,STR-105,PRD-001-S,3,189.0,0.1,0,Phone,No
ORD-100031,2025-12-21,CUS-0130,STR-106,PRD-001-T,1,234.17,0,0,Online,Yes
ORD-100031,2025-05-08,CUS-0184,STR-103,PRD-008-S,2,17.1,0.15,0,Online,No
ORD-100032,2025-04-23,CUS-0041,STR-107,PRD-015-S,1,41.8,0,11.99,Online,Yes
ORD-100032,2025-08-28,CUS-0165,STR-104,PRD-017-T,1,8.97,0.1,0,Store,No
ORD-100033,2025-03-24,CUS-0151,STR-107,PRD-010-S,3,61.95,0.15,4.99,Online,No
ORD-100033,2025-05-06,CUS-0077,STR-105,PRD-003-T,2,47.08,0,4.99,Phone,No
ORD-100034,2025-12-13,CUS-0010,STR-105,PRD-004-T,1,29.5,0.05,0,Store,No
ORD-100034,2025-03-13,CUS-0128,STR-104,PRD-001-S,2,179.55,0.15,0,Phone,No
ORD-100035,2025-01-02,CUS-0245,STR-105,PRD-020-S,2,54.0,0.05,0,Online,No
ORD-100035,2025-05-23,CUS-0176,STR-101,PRD-008-S,3,18.0,0.05,0,Store,No
ORD-100036,2025-10-15,CUS-0200,STR-101,PRD-005-S,2,55.0,0,0,Phone,No
ORD-100036,2025-12-13,CUS-0230,STR-106,PRD-003-T,2,47.08,0,7.99,Online,No
ORD-100037,2025-01-19,CUS-0190,STR-102,PRD-006-S,3,119.0,0.1,11.99,Online,No
ORD-100037,2025-06-22,CUS-0237,STR-102,PRD-015-S,1,41.8,0.05,0,Online,No
ORD-100038,2025-11-11,CUS-0155,STR-102,PRD-016-S,2,12.0,0.05,0,Online,No
ORD-100038,2025-09-15,CUS-0022,STR-102,PRD-009-S,1,93.45,0.15,4.99,Phone,No
ORD-100039,2025-04-19,CUS-0039,STR-107,PRD-005-T,1,61.66,0.1,4.99,Store,No
ORD-100039,2025-05-30,CUS-0062,STR-104,PRD-014-S,1,35.0,0.15,7.99,Online,No
ORD-100040,2025-05-24,CUS-0165,STR-107,PRD-009-S,2,84.55,0.15,7.99,Phone,No
ORD-100040,2025-07-17,CUS-0160,STR-105,PRD-019-T,2,17.7,0,7.99,Phone,No
ORD-100041,2025-02-06,CUS-0040,STR-102,PRD-010-T,2,69.62,0.1,0,Phone,No
ORD-100041,2025-10-02,CUS-0099,STR-102,PRD-016-S,2,12.6,0.05,4.99,Store,No
ORD-100042,2025-05-18,CUS-0031,STR-104,PRD-015-S,2,41.8,0.05,0,Phone,No
ORD-100042,2025-09-12,CUS-0126,STR-106,PRD-003-T,1,52.04,0.15,0,Phone,No
ORD-100043,2025-10-26,CUS-0127,STR-105,PRD-006-S,4,119.0,0,0,Online,No
ORD-100043,2025-01-10,CUS-0119,STR-102,PRD-008-S,2,18.0,0.1,7.99,Store,No
ORD-100044,2025-06-16,CUS-0155,STR-107,PRD-008-T,1,22.3,0.05,11.99,Online,No
ORD-100044,2025-07-17,CUS-0055,STR-107,PRD-009-T,2,110.27,0.15,0,Phone,No
ORD-100045,2025-09-28,CUS-0014,STR-103,PRD-002-S,1,99.0,0.05,0,Online,No
ORD-100045,2025-02-13,CUS-0242,STR-104,PRD-015-T,3,51.92,0.15,0,Phone,No
ORD-100046,2025-12-14,CUS-0180,STR-103,PRD-008-T,2,21.24,0,7.99,Phone,No
ORD-100046,2025-02-15,CUS-0243,STR-107,PRD-002-T,1,116.82,0.1,0,Phone,No
ORD-100047,2025-03-12,CUS-0051,STR-103,PRD-018-S,1,29.0,0,0,Store,No
ORD-100047,2025-04-16,CUS-0063,STR-106,PRD-004-S,1,25.0,0.05,0,Phone,No
ORD-100048,2025-09-04,CUS-0207,STR-104,PRD-019-T,2,16.81,0.05,0,Store,Yes
ORD-100048,2025-07-03,CUS-0149,STR-103,PRD-012-S,1,20.9,0,4.99,Phone,No
ORD-100049,2025-04-01,CUS-0135,STR-103,PRD-017-T,3,9.44,0.1,11.99,Online,No
ORD-100049,2025-10-24,CUS-0182,STR-105,PRD-005-S,3,52.25,0.05,4.99,Store,No
ORD-100050,2025-11-10,CUS-0155,STR-102,PRD-004-S,2,23.75,0,7.99,Online,No
ORD-100050,2025-04-17,CUS-0209,STR-103,PRD-019-S,4,15.75,0.15,7.99,Store,No
ORD-100051,2025-04-29,CUS-0102,STR-105,PRD-003-T,4,49.56,0.1,7.99,Phone,No
ORD-100051,2025-05-20,CUS-0141,STR-101,PRD-018-S,1,30.45,0,7.99,Store,Yes
ORD-100052,2025-04-20,CUS-0204,STR-104,PRD-003-S,3,42.0,0,4.99,Phone,No
ORD-100052,2025-05-16,CUS-0196,STR-106,PRD-020-S,1,54.0,0,0,Store,No
ORD-100053,2025-09-08,CUS-0147,STR-102,PRD-007-S,1,51.45,0.1,7.99,Online,No
ORD-100053,2025-01-08,CUS-0111,STR-104,PRD-004-T,1,30.98,0,7.99,Online,No
ORD-100054,2025-08-31,CUS-0127,STR-106,PRD-012-T,2,25.96,0.1,7.99,Online,No
ORD-100054,2025-09-30,CUS-0076,STR-104,PRD-005-T,1,68.15,0.15,11.99,Online,No
ORD-100055,2025-03-22,CUS-0025,STR-106,PRD-015-S,2,44.0,0.15,11.99,Store,No
ORD-100055,2025-04-15,CUS-0134,STR-105,PRD-002-S,2,103.95,0,0,Online,Yes
ORD-100056,2025-10-27,CUS-0232,STR-106,PRD-019-T,2,17.7,0.15,0,Online,Yes
ORD-100056,2025-02-28,CUS-0058,STR-102,PRD-001-T,1,223.02,0,4.99,Online,No
ORD-100057,2025-02-23,CUS-0075,STR-103,PRD-015-S,2,44.0,0,11.99,Store,No
ORD-100057,2025-04-18,CUS-0002,STR-101,PRD-007-T,2,57.82,0.15,7.99,Online,No
ORD-100058,2025-03-31,CUS-0220,STR-101,PRD-014-S,1,35.0,0.05,4.99,Phone,No
ORD-100058,2025-11-02,CUS-0085,STR-107,PRD-007-S,1,46.55,,4.99,Online,No
ORD-100059,2025-11-19,CUS-0088,STR-104,PRD-010-T,3,66.14,0.15,4.99,Store,No
ORD-100059,2025-06-21,CUS-0156,STR-103,PRD-017-S,1,8.0,0.15,4.99,Store,No
ORD-100060,2025-02-16,CUS-0096,STR-102,PRD-008-T,2,20.18,0.1,0,Online,Yes
ORD-100060,2025-03-19,CUS-0240,STR-103,PRD-005-T,1,64.9,0.15,11.99,Store,No
ORD-100061,2025-01-02,CUS-0236,STR-103,PRD-019-S,2,15.0,0.1,11.99,Store,No
ORD-100061,2025-12-24,CUS-0167,STR-105,PRD-003-T,2,49.56,0,4.99,Store,No
ORD-100062,2025-02-02,CUS-0020,STR-104,PRD-017-S,1,8.0,0.1,0,Phone,No
ORD-100062,2025-07-18,CUS-0222,STR-103,PRD-006-S,1,119.0,0.1,0,Store,No
ORD-100063,2025-06-03,CUS-0012,STR-107,PRD-001-T,1,223.02,0.05,11.99,Online,No
ORD-100063,2025-11-18,CUS-0225,STR-101,PRD-009-T,1,105.02,0,4.99,Store,No
ORD-100064,2025-07-10,CUS-0032,STR-103,PRD-006-T,3,147.44,0,4.99,Store,No
ORD-100064,2025-10-06,CUS-0058,STR-107,PRD-018-T,1,32.51,0.15,0,Store,No
ORD-100065,2025-09-12,CUS-0026,STR-104,PRD-004-S,1,25.0,0,11.99,Online,No
ORD-100065,2025-05-13,CUS-0143,STR-104,PRD-007-S,2,46.55,0.05,4.99,Phone,No
ORD-100066,2025-03-01,CUS-0097,STR-106,PRD-003-S,1,42.0,0.15,0,Online,No
ORD-100066,2025-05-12,CUS-0228,STR-102,PRD-006-S,1,119.0,0.1,0,Phone,No
ORD-100067,2025-07-11,CUS-0181,STR-104,PRD-004-S,3,25.0,0,0,Store,No
ORD-100067,2025-10-05,CUS-0222,STR-105,PRD-009-T,3,99.77,0,0,Store,No
ORD-100068,2025-03-21,CUS-0146,STR-102,PRD-014-S,2,35.0,0.05,4.99,Online,No
ORD-100068,2025-03-20,CUS-0041,STR-102,PRD-016-S,4,12.0,0,0,Store,No
ORD-100069,2025-02-08,CUS-0126,STR-105,PRD-006-S,2,113.05,0,0,Store,No
ORD-100069,2025-04-30,CUS-0103,STR-104,PRD-004-T,2,29.5,0.05,7.99,Phone,No
ORD-100070,2025-11-20,CUS-0111,STR-102,PRD-003-S,1,42.0,0,0,Store,No
ORD-100070,2025-04-12,CUS-0218,STR-104,PRD-019-T,2,18.59,0,0,Online,No
ORD-100071,2025-06-24,CUS-0078,STR-105,PRD-008-S,2,18.0,0,4.99,Phone,No
ORD-100071,2025-12-03,CUS-0242,STR-101,PRD-001-S,4,189.0,0,0,Phone,No
ORD-100072,2025-09-07,CUS-0067,STR-104,PRD-020-T,2,63.72,0.1,11.99,Online,No
ORD-100072,2025-02-15,CUS-0195,STR-102,PRD-005-S,1,57.75,0.05,4.99,Phone,No
ORD-100073,2025-01-05,CUS-0139,STR-106,PRD-008-S,1,17.1,0,11.99,Store,No
ORD-100073,2025-06-07,CUS-0209,STR-104,PRD-018-T,5,34.22,0.15,0,Store,No
ORD-100074,2025-12-30,CUS-0070,STR-103,PRD-007-S,2,46.55,0,7.99,Phone,No
ORD-100074,2025-07-24,CUS-0066,STR-101,PRD-008-T,1,21.24,0.05,11.99,Phone,No
ORD-100075,2025-12-10,CUS-0154,STR-104,PRD-001-S,1,179.55,0.05,0,Phone,No
ORD-100075,2025-07-24,CUS-0133,STR-101,PRD-004-T,2,29.5,0.15,0,Phone,Yes
ORD-100076,2025-04-01,CUS-0160,STR-105,PRD-002-T,1,116.82,0.1,0,Store,No
ORD-100076,2025-03-22,CUS-0194,STR-107,PRD-018-T,1,34.22,0.1,11.99,Online,No
ORD-100077,2025-08-04,CUS-0058,STR-101,PRD-008-S,1,18.9,0.1,7.99,Phone,No
ORD-100077,2025-08-28,CUS-0219,STR-106,PRD-014-S,2,36.75,0,7.99,Online,No
ORD-100078,2025-09-20,CUS-0113,STR-107,PRD-006-T,2,140.42,0,4.99,Store,No
ORD-100078,2025-05-04,CUS-0006,STR-101,PRD-019-S,2,14.25,0,4.99,Online,No
ORD-100079,2025-10-08,CUS-0062,STR-102,PRD-020-S,3,56.7,0.15,4.99,Store,No
ORD-100079,2025-02-21,CUS-0154,STR-106,PRD-001-S,1,189.0,0.05,0,Phone,No
ORD-100080,2025-08-16,CUS-0077,STR-102,PRD-017-T,2,9.44,0.15,11.99,Store,No
ORD-100080,2025-04-21,CUS-0018,STR-101,PRD-003-S,2,42.0,0,4.99,Online,No
ORD-100081,2025-12-14,CUS-0161,STR-102,PRD-003-T,2,47.08,0,11.99,Online,No
ORD-100081,2025-11-15,CUS-0132,STR-101,PRD-019-T,1,17.7,0,0,Store,No
ORD-100082,2025-07-27,CUS-0007,STR-104,PRD-002-S,2,99.0,0,11.99,Online,No
ORD-100082,2025-06-19,CUS-0202,STR-102,PRD-006-S,1,119.0,0.05,0,Store,No
ORD-100083,2025-07-17,CUS-0207,STR-102,PRD-011-S,1,34.0,0.15,11.99,Online,No
ORD-100083,2025-03-21,CUS-0169,STR-106,PRD-005-S,1,55.0,0,0,Phone,No
ORD-100084,2025-05-25,CUS-0229,STR-101,PRD-004-T,2,29.5,0,0,Store,No
ORD-100084,2025-01-20,CUS-0027,STR-105,PRD-013-T,2,18.88,0.1,0,Store,No
ORD-100085,2025-04-05,CUS-0169,STR-101,PRD-020-S,1,51.3,0,7.99,Phone,No
ORD-100085,2025-01-10,CUS-0193,STR-105,PRD-014-S,3,33.25,0,4.99,Online,No
ORD-100086,2025-12-02,CUS-0052,STR-103,PRD-015-T,3,54.52,0.15,11.99,Online,No
ORD-100086,2025-09-19,CUS-0006,STR-106,PRD-011-S,2,34.0,0.15,11.99,Online,No
ORD-100087,2025-06-08,CUS-0170,STR-104,PRD-014-T,4,41.3,0.15,11.99,Store,No
ORD-100087,2025-10-09,CUS-0237,STR-107,PRD-017-S,1,8.0,0,4.99,Online,No
ORD-100088,2025-03-13,CUS-0203,STR-104,PRD-012-T,1,25.96,0.05,4.99,Online,No
ORD-100088,2025-10-02,CUS-0019,STR-104,PRD-014-T,1,41.3,0.1,11.99,Phone,No
ORD-100089,2025-02-07,CUS-0114,STR-104,PRD-020-T,1,60.53,0.15,11.99,Phone,No
ORD-100089,2025-12-25,CUS-0195,STR-103,PRD-018-S,1,30.45,0.05,11.99,Online,No
ORD-100090,2025-08-24,CUS-0229,STR-106,PRD-001-S,1,179.55,0.1,4.99,Store,No
ORD-100090,2025-03-10,CUS-0188,STR-101,PRD-020-T,1,63.72,0.05,0,Online,No
ORD-100091,2025-07-03,CUS-0217,STR-102,PRD-005-T,1,68.15,0,4.99,Online,No
ORD-100091,2025-11-01,CUS-0117,STR-101,PRD-008-T,1,22.3,0.05,0,Store,No
ORD-100092,2025-11-15,CUS-0068,STR-107,PRD-013-S,2,16.8,0.05,7.99,Phone,No
ORD-100092,2025-09-26,CUS-0017,STR-106,PRD-017-S,1,8.4,0,0,Phone,No
ORD-100093,2025-02-26,CUS-0109,STR-101,PRD-020-T,3,63.72,0.05,0,Phone,No
ORD-100093,2025-10-07,CUS-0202,STR-102,PRD-006-T,3,133.4,0,11.99,Online,No
ORD-100094,2025-05-05,CUS-0159,STR-106,PRD-020-T,1,60.53,0.15,11.99,Online,No
ORD-100094,2025-04-25,CUS-0154,STR-105,PRD-008-T,3,21.24,0.15,7.99,Phone,No
ORD-100095,2025-11-22,CUS-0091,STR-103,PRD-005-T,2,64.9,0.1,0,Online,No
ORD-100095,2025-05-26,CUS-0232,STR-101,PRD-008-T,2,20.18,0.05,4.99,Store,No
ORD-100096,2025-11-15,CUS-0054,STR-103,PRD-008-T,3,20.18,0.1,7.99,Store,No
ORD-100096,2025-04-13,CUS-0203,STR-106,PRD-006-T,4,133.4,0.05,0,Store,No
ORD-100097,2025-08-19,CUS-0115,STR-104,PRD-017-T,2,9.91,0,0,Phone,No
ORD-100097,2025-01-17,CUS-0194,STR-104,PRD-006-T,2,133.4,0.15,0,Phone,No
ORD-100098,2025-10-05,CUS-0118,STR-102,PRD-004-T,2,30.98,0,0,Phone,No
ORD-100098,2025-10-15,CUS-0067,STR-102,PRD-007-T,1,60.71,0,0,Phone,No
ORD-100099,2025-11-02,CUS-0162,STR-101,PRD-015-S,3,44.0,0.15,11.99,Store,No
ORD-100099,2025-03-29,CUS-0246,STR-106,PRD-020-T,1,63.72,0.05,4.99,Online,Yes
ORD-100100,2025-02-04,CUS-0042,STR-106,PRD-011-S,2,34.0,0.15,4.99,Online,No
ORD-100100,2025-05-04,CUS-0243,STR-101,PRD-002-T,2,122.66,0.05,11.99,Store,No
ORD-100101,2025-03-07,CUS-0070,STR-104,PRD-003-S,4,44.1,0.05,11.99,STORE,No
ORD-100101,2025-07-21,CUS-0242,STR-105,PRD-019-S,2,15.0,0.05,7.99,Online,No
ORD-100102,2025-09-09,CUS-0205,STR-104,PRD-009-T,1,99.77,0.05,4.99,Phone,No
ORD-100102,2025-05-23,CUS-0171,STR-101,PRD-017-S,5,8.4,0,11.99,Store,No
ORD-100103,2025-11-18,CUS-0124,STR-107,PRD-014-T,1,39.23,0,0,Online,No
ORD-100103,2025-11-09,CUS-0079,STR-101,PRD-004-T,1,28.02,0,11.99,Phone,No
ORD-100104,2025-10-24,CUS-0215,STR-101,PRD-008-S,2,18.0,0.05,7.99,Store,No
ORD-100104,2025-05-18,CUS-0099,STR-107,PRD-001-T,3,223.02,0.15,0,Store,No
ORD-100105,2025-02-28,CUS-0134,STR-101,PRD-007-S,2,49.0,0.1,7.99,Online,No
ORD-100105,2025-01-16,CUS-0038,STR-103,PRD-004-S,3,23.75,0,0,Online,No
ORD-100106,2025-06-26,CUS-0142,STR-101,PRD-012-S,4,22.0,0.1,0,Phone,No
ORD-100106,2025-11-22,CUS-0172,STR-101,PRD-014-T,2,43.37,0.1,7.99,Store,Yes
ORD-100107,2025-12-07,CUS-0085,STR-102,PRD-007-T,3,57.82,0,0,Phone,No
ORD-100107,2025-06-24,CUS-0131,STR-101,PRD-017-T,1,9.44,0.05,0,Store,No
ORD-100108,2025-11-09,CUS-0027,STR-105,PRD-001-S,1,189.0,0,4.99,Online,No
ORD-100108,2025-07-05,CUS-0145,STR-105,PRD-003-S,1,42.0,0,7.99,Phone,No
ORD-100109,2025-10-20,CUS-0078,STR-102,PRD-007-T,4,54.93,0,4.99,Phone,No
ORD-100109,2025-09-25,CUS-0084,STR-107,PRD-011-T,2,38.11,0.15,11.99,Phone,No
ORD-100110,2025-04-23,CUS-0157,STR-101,PRD-020-T,3,63.72,0.05,7.99,Store,No
ORD-100110,2025-08-25,CUS-0017,STR-101,PRD-010-S,4,59.0,0.1,0,Online,No
ORD-100111,2025-06-05,CUS-0247,STR-101,PRD-011-S,5,34.0,0.1,0,Store,No
ORD-100111,2025-07-24,CUS-0026,STR-103,PRD-003-T,1,49.56,0.1,11.99,Store,No
ORD-100112,2025-08-14,CUS-0190,STR-102,PRD-013-S,2,16.0,0.1,11.99,Online,No
ORD-100112,2025-06-05,CUS-0237,STR-107,PRD-014-S,1,35.0,0.15,4.99,Store,No
ORD-100113,2025-11-28,CUS-0246,STR-106,PRD-004-T,1,28.02,0.05,4.99,Online,No
ORD-100113,2025-12-08,CUS-0041,STR-106,PRD-010-T,2,69.62,0.15,0,Online,No
ORD-100114,2025-11-09,CUS-0067,STR-101,PRD-004-S,1,23.75,0.15,4.99,Store,No
ORD-100114,2025-06-30,CUS-0070,STR-107,PRD-008-S,1,18.0,0.1,0,Store,No
ORD-100115,2025-11-19,CUS-0126,STR-107,PRD-018-T,1,32.51,0.1,4.99,Store,No
ORD-100115,2025-05-18,CUS-0160,STR-101,PRD-017-S,2,7.6,0.15,11.99,Store,No
ORD-100116,2025-10-28,CUS-0103,STR-104,PRD-002-T,2,116.82,0.15,0,Online,No
ORD-100116,2025-10-24,CUS-0153,STR-101,PRD-013-S,1,16.8,0,0,Store,No
ORD-100117,2025-03-24,CUS-0109,STR-103,PRD-012-T,1,24.66,0.05,7.99,Online,No
ORD-100117,2025-08-22,CUS-0188,STR-103,PRD-005-S,4,52.25,0,4.99,Store,No
ORD-100118,2025-03-17,CUS-0029,STR-103,PRD-012-S,2,22.0,0.15,11.99,Phone,No
ORD-100118,2025-07-18,CUS-0075,STR-105,PRD-018-S,1,29.0,0,7.99,Online,No
ORD-100119,2025-08-02,CUS-0087,STR-106,PRD-014-S,2,33.25,0.1,4.99,Online,Yes
ORD-100119,2025-06-22,CUS-0118,STR-105,PRD-001-S,1,198.45,0.1,4.99,Online,No
ORD-100120,2025-01-09,CUS-0096,STR-106,PRD-020-T,3,66.91,0,0,Store,No
ORD-100120,2025-01-25,CUS-0184,STR-107,PRD-011-S,1,34.0,0.05,0,Phone,No
ORD-100121,2025-09-18,CUS-0153,STR-105,PRD-017-S,1,8.0,0.05,4.99,Online,No
ORD-100121,2025-10-31,CUS-0250,STR-102,PRD-006-T,2,147.44,0.1,0,Phone,No
ORD-100122,2025-03-17,CUS-0001,STR-103,PRD-019-S,2,15.0,0,0,Phone,No
ORD-100122,2025-04-05,CUS-0243,STR-107,PRD-006-T,2,140.42,0.1,0,Store,No
ORD-100123,2025-10-16,CUS-0218,STR-105,PRD-002-T,3,116.82,0.1,0,Phone,No
ORD-100123,2025-02-16,CUS-0126,STR-105,PRD-018-S,2,27.55,0.1,4.99,Phone,No
ORD-100124,2025-05-20,CUS-0050,STR-106,PRD-002-S,2,99.0,0.15,0,Online,No
ORD-100124,2025-10-07,CUS-0151,STR-103,PRD-004-S,1,26.25,0.1,0,Online,No
ORD-100125,2025-08-17,CUS-0012,STR-101,PRD-001-T,2,211.87,0.05,4.99,Phone,No
ORD-100125,2025-03-21,CUS-0143,STR-101,PRD-007-T,2,60.71,0.05,0,Store,No
ORD-100126,2025-07-24,CUS-0019,STR-105,PRD-018-T,2,34.22,0.05,7.99,Phone,No
ORD-100126,2025-01-18,CUS-0249,STR-106,PRD-007-S,1,49.0,0.05,7.99,Online,No
ORD-100127,2025-07-24,CUS-0189,STR-103,PRD-007-T,1,60.71,0,0,Phone,No
ORD-100127,2025-04-22,CUS-0219,STR-105,PRD-008-S,1,17.1,0.05,0,Phone,No
ORD-100128,2025-12-19,CUS-0185,STR-101,PRD-019-S,1,15.0,0.15,4.99,Phone,No
ORD-100128,2025-03-22,CUS-0239,STR-103,PRD-009-T,3,99.77,0.05,0,Store,No
ORD-100129,2025-06-17,CUS-0101,STR-105,PRD-020-S,1,54.0,0,7.99,Phone,No
ORD-100129,2025-02-03,CUS-0044,STR-106,PRD-013-T,2,17.94,0,0,Phone,No
ORD-100130,2025-08-24,CUS-0185,STR-102,PRD-009-T,4,110.27,0.15,4.99,Phone,No
ORD-100130,2025-06-10,CUS-0199,STR-107,PRD-013-T,2,17.94,0.05,11.99,Phone,No
ORD-100131,2025-04-13,CUS-0077,STR-104,PRD-009-T,5,110.27,0.1,7.99,Online,No
ORD-100131,2025-02-02,CUS-0215,STR-102,PRD-005-S,2,57.75,0.1,0,Store,No
ORD-100132,2025-04-05,CUS-0032,STR-106,PRD-012-T,3,27.26,0.05,0,Online,No
ORD-100132,2025-05-13,CUS-0184,STR-102,PRD-008-T,2,21.24,0,0,Online,No
ORD-100133,2025-12-26,CUS-0109,STR-102,PRD-001-T,3,223.02,0.05,4.99,Phone,No
ORD-100133,2025-03-28,CUS-0222,STR-101,PRD-020-S,1,54.0,0,11.99,Online,No
